dataset,dataelement,shortname,code,categoryoptioncombo,dataelementuid,categoryoptioncombouid
2020 PHUF3 - Reproductive Health Services,Obstetric - Other complications death,Obstetric Other complications death,OTHER_OBS_COMP_DEATH,15-19y_X,QxXkSlyB30h,PlBDX0AFcDS
2020 PHUF3 - Reproductive Health Services,Obstetric - Other complications death,Obstetric Other complications death,OTHER_OBS_COMP_DEATH,20-24y_X,QxXkSlyB30h,BbJN6RMpIEj
2020 PHUF3 - Reproductive Health Services,Obstetric - Other complications death,Obstetric Other complications death,OTHER_OBS_COMP_DEATH,25+y_X,QxXkSlyB30h,REWmlrNjcqF
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy abortive case,Obstetric Pregnancy abortive case,PREG_ABORTIVE_CASE,default,vYUcWaQ06yA,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy abortive death,Obstetric Pregnancy abortive death,PREG_ABORTIVE_DEATH,10-14y_X,z5RA7eHHUnq,agZCDFpaKuZ
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy abortive death,Obstetric Pregnancy abortive death,PREG_ABORTIVE_DEATH,15-19y_X,z5RA7eHHUnq,PlBDX0AFcDS
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy abortive death,Obstetric Pregnancy abortive death,PREG_ABORTIVE_DEATH,20-24y_X,z5RA7eHHUnq,BbJN6RMpIEj
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy abortive death,Obstetric Pregnancy abortive death,PREG_ABORTIVE_DEATH,25+y_X,z5RA7eHHUnq,REWmlrNjcqF
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy induced hypertension case,Obstetric Pregnancy induced hypertension case,PREG_INDUCED_HYPERTENSION_CASE,default,CVRbGqjfHZs,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy induced hypertension death,Obstetric Pregnancy induced hypertension death,PREG_INDUCED_HYPERTENSION_DEATH,10-14y_X,ShxlgNh8248,agZCDFpaKuZ
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy induced hypertension death,Obstetric Pregnancy induced hypertension death,PREG_INDUCED_HYPERTENSION_DEATH,15-19y_X,ShxlgNh8248,PlBDX0AFcDS
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy induced hypertension death,Obstetric Pregnancy induced hypertension death,PREG_INDUCED_HYPERTENSION_DEATH,20-24y_X,ShxlgNh8248,BbJN6RMpIEj
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy induced hypertension death,Obstetric Pregnancy induced hypertension death,PREG_INDUCED_HYPERTENSION_DEATH,25+y_X,ShxlgNh8248,REWmlrNjcqF
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy related infection case,Obstetric Pregnancy related infection case,PREG_RELATED_INFECTION_CASE,default,JRDSrW3uxWv,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy related infection death,Obstetric Pregnancy related infection death,PREG_RELATED_INFECTION_DEATH,10-14y_X,eEtZ4FIFq6I,agZCDFpaKuZ
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy related infection death,Obstetric Pregnancy related infection death,PREG_RELATED_INFECTION_DEATH,15-19y_X,eEtZ4FIFq6I,PlBDX0AFcDS
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy related infection death,Obstetric Pregnancy related infection death,PREG_RELATED_INFECTION_DEATH,20-24y_X,eEtZ4FIFq6I,BbJN6RMpIEj
2020 PHUF3 - Reproductive Health Services,Obstetric - Pregnancy related infection death,Obstetric Pregnancy related infection death,PREG_RELATED_INFECTION_DEATH,25+y_X,eEtZ4FIFq6I,REWmlrNjcqF
2020 PHUF3 - Reproductive Health Services,Obstetric - Ruptured uterus case,Obstetric Ruptured uterus case,RUPTURED_UTERUS_CASE,default,JKTlHrOxE96,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Obstetric - Ruptured uterus death,Obstetric Ruptured uterus death,RUPTURED_UTERUS_DEATH,10-14y_X,B4v3h9PLPEv,agZCDFpaKuZ
2020 PHUF3 - Reproductive Health Services,Obstetric - Ruptured uterus death,Obstetric Ruptured uterus death,RUPTURED_UTERUS_DEATH,15-19y_X,B4v3h9PLPEv,PlBDX0AFcDS
2020 PHUF3 - Reproductive Health Services,Obstetric - Ruptured uterus death,Obstetric Ruptured uterus death,RUPTURED_UTERUS_DEATH,20-24y_X,B4v3h9PLPEv,BbJN6RMpIEj
2020 PHUF3 - Reproductive Health Services,Obstetric - Ruptured uterus death,Obstetric Ruptured uterus death,RUPTURED_UTERUS_DEATH,25+y_X,B4v3h9PLPEv,REWmlrNjcqF
2020 PHUF3 - Reproductive Health Services,Obstetric - Unknown or undetermined case,Obstetric Unknown or undetermined case,UNKNOWN_UNDETERMINED_CASE,default,fctWkeVE4kB,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Obstetric - Unknown or undetermined death,Obstetric Unknown or undetermined death,UNKNOWN_UNDETERMINED_DEATH,10-14y_X,EbVKJWRQVnV,agZCDFpaKuZ
2020 PHUF3 - Reproductive Health Services,Obstetric - Unknown or undetermined death,Obstetric Unknown or undetermined death,UNKNOWN_UNDETERMINED_DEATH,15-19y_X,EbVKJWRQVnV,PlBDX0AFcDS
2020 PHUF3 - Reproductive Health Services,Obstetric - Unknown or undetermined death,Obstetric Unknown or undetermined death,UNKNOWN_UNDETERMINED_DEATH,20-24y_X,EbVKJWRQVnV,BbJN6RMpIEj
2020 PHUF3 - Reproductive Health Services,Obstetric - Unknown or undetermined death,Obstetric Unknown or undetermined death,UNKNOWN_UNDETERMINED_DEATH,25+y_X,EbVKJWRQVnV,REWmlrNjcqF
2020 PHUF3 - Reproductive Health Services,Postnatal visit 1st contact (24-48 hours after delivery),Postnatal visit 1 (24-48 hrs),POSTNATAL_VISIT1_24_48H,"Mother, In_Facility_X",iRb8yr8WXX5,vUOp6cbbCyg
2020 PHUF3 - Reproductive Health Services,Postnatal visit 1st contact (24-48 hours after delivery),Postnatal visit 1 (24-48 hrs),POSTNATAL_VISIT1_24_48H,"Mother, Outreach_X",iRb8yr8WXX5,DFQ7pfOGA8P
2020 PHUF3 - Reproductive Health Services,Postnatal visit 1st contact (24-48 hours after delivery),Postnatal visit 1 (24-48 hrs),POSTNATAL_VISIT1_24_48H,"Neonate, In_Facility_X",iRb8yr8WXX5,pBGwLxUeXAI
2020 PHUF3 - Reproductive Health Services,Postnatal visit 1st contact (24-48 hours after delivery),Postnatal visit 1 (24-48 hrs),POSTNATAL_VISIT1_24_48H,"Neonate, Outreach_X",iRb8yr8WXX5,NXcCz1nuJ6R
2020 PHUF3 - Reproductive Health Services,Postnatal visit 2nd contact (3-7 days after delivery),Postnatal visit 2 (3-7 days),POSTNATAL_VISIT2_3_7D,"Mother, In_Facility_X",AUtabzbXZ8j,vUOp6cbbCyg
2020 PHUF3 - Reproductive Health Services,Postnatal visit 2nd contact (3-7 days after delivery),Postnatal visit 2 (3-7 days),POSTNATAL_VISIT2_3_7D,"Mother, Outreach_X",AUtabzbXZ8j,DFQ7pfOGA8P
2020 PHUF3 - Reproductive Health Services,Postnatal visit 2nd contact (3-7 days after delivery),Postnatal visit 2 (3-7 days),POSTNATAL_VISIT2_3_7D,"Neonate, In_Facility_X",AUtabzbXZ8j,pBGwLxUeXAI
2020 PHUF3 - Reproductive Health Services,Postnatal visit 2nd contact (3-7 days after delivery),Postnatal visit 2 (3-7 days),POSTNATAL_VISIT2_3_7D,"Neonate, Outreach_X",AUtabzbXZ8j,NXcCz1nuJ6R
2020 PHUF3 - Reproductive Health Services,Postnatal visit 3rd contact (within 6 weeks of delivery),Postnatal visit 3 (<=6 wks),POSTNATAL_VISIT3_WITHIN_6WKS,"Mother, In_Facility_X",xhyyy41Rpjj,vUOp6cbbCyg
2020 PHUF3 - Reproductive Health Services,Postnatal visit 3rd contact (within 6 weeks of delivery),Postnatal visit 3 (<=6 wks),POSTNATAL_VISIT3_WITHIN_6WKS,"Mother, Outreach_X",xhyyy41Rpjj,DFQ7pfOGA8P
2020 PHUF3 - Reproductive Health Services,Postnatal visit 3rd contact (within 6 weeks of delivery),Postnatal visit 3 (<=6 wks),POSTNATAL_VISIT3_WITHIN_6WKS,"Neonate, In_Facility_X",xhyyy41Rpjj,pBGwLxUeXAI
2020 PHUF3 - Reproductive Health Services,Postnatal visit 3rd contact (within 6 weeks of delivery),Postnatal visit 3 (<=6 wks),POSTNATAL_VISIT3_WITHIN_6WKS,"Neonate, Outreach_X",xhyyy41Rpjj,NXcCz1nuJ6R
2020 PHUF3 - Reproductive Health Services,Postpartum woman pre-discharge family planning accepted,Postpartum woman pre-discharge fp accepted,POSTPARTUM_PRE_DISCHARGE_FP_ACCEPTED,default,GoxrEkhfzbU,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Postpartum woman pre-discharge family planning counselled,Postpartum woman pre-discharge fp counselled,POSTPARTUM_PRE_DISCHARGE_FP_COUNSEL,default,pHpJQywPITP,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Progestin-Only Pills (POP) - Postpartum FP_X,Progestin-Only Pills Postpartum FP,PROGESTIN_ONLY_PILLS_POSTPARTUM,default,ggWVHTY1pgm,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Progestin-Only Pills (POP) Continuing client,Progestin-Only Pills (POP) Cont client,PROGESTIN_ONLY_PILLS_CONT_CLIENT,default,FxZGKvPv2jW,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Progestin-Only Pills (POP) New Client,Progestin-Only Pills (POP) New Client,PROGESTIN_ONLY_PILLS_NEW_CLIENT,10-14y_X,hVC28CNZrut,agZCDFpaKuZ
2020 PHUF3 - Reproductive Health Services,Progestin-Only Pills (POP) New Client,Progestin-Only Pills (POP) New Client,PROGESTIN_ONLY_PILLS_NEW_CLIENT,15-19y_X,hVC28CNZrut,PlBDX0AFcDS
2020 PHUF3 - Reproductive Health Services,Progestin-Only Pills (POP) New Client,Progestin-Only Pills (POP) New Client,PROGESTIN_ONLY_PILLS_NEW_CLIENT,20-24y_X,hVC28CNZrut,BbJN6RMpIEj
2020 PHUF3 - Reproductive Health Services,Progestin-Only Pills (POP) New Client,Progestin-Only Pills (POP) New Client,PROGESTIN_ONLY_PILLS_NEW_CLIENT,25+y_X,hVC28CNZrut,REWmlrNjcqF
2020 PHUF3 - Reproductive Health Services,Progestin-Only Pills (POP)_Commodities issued,Progestin-Only Pills (POP) Commodities issued,PROGESTIN_ONLY_PILLS_ISSUED,default,QaXB2FqNPkg,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Still birth fresh in facility,Still birth fresh in facility,STILL_BIRTH_FACILITY_FRESH,default,D8zFeUQoQtV,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Still birth macerated in facility,Still birth macerated in facility,STILL_BIRTH_FACILITY_MACERATED,default,sIUNbcNYdBh,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Surgical (Dilatation and Curettage),Surgical (Dilatation and Curettage),SURGICAL_DILATATION_CURETTAGE,10-14y_X,KIKYH8kELxY,agZCDFpaKuZ
2020 PHUF3 - Reproductive Health Services,Surgical (Dilatation and Curettage),Surgical (Dilatation and Curettage),SURGICAL_DILATATION_CURETTAGE,15-19y_X,KIKYH8kELxY,PlBDX0AFcDS
2020 PHUF3 - Reproductive Health Services,Surgical (Dilatation and Curettage),Surgical (Dilatation and Curettage),SURGICAL_DILATATION_CURETTAGE,20-24y_X,KIKYH8kELxY,BbJN6RMpIEj
2020 PHUF3 - Reproductive Health Services,Surgical (Dilatation and Curettage),Surgical (Dilatation and Curettage),SURGICAL_DILATATION_CURETTAGE,25+y_X,KIKYH8kELxY,REWmlrNjcqF
2020 PHUF3 - Reproductive Health Services,Td 1st dose,Td 1st dose,TD_DOSE1,"Non-Pregnant, In_Facility_X",b9FeYFGFbZv,cZChfjCsymi
2020 PHUF3 - Reproductive Health Services,Td 1st dose,Td 1st dose,TD_DOSE1,"Non-Pregnant, Outreach_X",b9FeYFGFbZv,RItfvAlVjxn
2020 PHUF3 - Reproductive Health Services,Td 1st dose,Td 1st dose,TD_DOSE1,"Pregnant, In_Facility_X",b9FeYFGFbZv,fP72t9bMWwk
2020 PHUF3 - Reproductive Health Services,Td 1st dose,Td 1st dose,TD_DOSE1,"Pregnant, Outreach_X",b9FeYFGFbZv,AUH3MP85oO0
2020 PHUF3 - Reproductive Health Services,Td 1st dose In-School,Td 1st dose In-Sch,TD_DOSE1_IN_SCHOOL,default,vh4GMOgt5Mb,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Td 2nd dose,Td 2nd dose,TD_DOSE2,"Non-Pregnant, In_Facility_X",bUJ83I0gbz4,cZChfjCsymi
2020 PHUF3 - Reproductive Health Services,Td 2nd dose,Td 2nd dose,TD_DOSE2,"Non-Pregnant, Outreach_X",bUJ83I0gbz4,RItfvAlVjxn
2020 PHUF3 - Reproductive Health Services,Td 2nd dose,Td 2nd dose,TD_DOSE2,"Pregnant, In_Facility_X",bUJ83I0gbz4,fP72t9bMWwk
2020 PHUF3 - Reproductive Health Services,Td 2nd dose,Td 2nd dose,TD_DOSE2,"Pregnant, Outreach_X",bUJ83I0gbz4,AUH3MP85oO0
2020 PHUF3 - Reproductive Health Services,Td 2nd dose In-School,Td 2nd dose In-Sch,TD_DOSE2_IN_SCHOOL,default,zl26hhQZLq0,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Td 3rd dose,Td 3rd dose,TD_DOSE3,"Non-Pregnant, In_Facility_X",pcsPnUs93bk,cZChfjCsymi
2020 PHUF3 - Reproductive Health Services,Td 3rd dose,Td 3rd dose,TD_DOSE3,"Non-Pregnant, Outreach_X",pcsPnUs93bk,RItfvAlVjxn
2020 PHUF3 - Reproductive Health Services,Td 3rd dose,Td 3rd dose,TD_DOSE3,"Pregnant, In_Facility_X",pcsPnUs93bk,fP72t9bMWwk
2020 PHUF3 - Reproductive Health Services,Td 3rd dose,Td 3rd dose,TD_DOSE3,"Pregnant, Outreach_X",pcsPnUs93bk,AUH3MP85oO0
2020 PHUF3 - Reproductive Health Services,Td 3rd dose In-School,Td 3rd dose In-Sch,TD_DOSE3_IN_SCHOOL,default,UCCCv9qyPV6,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Td 4th dose,Td 4th dose,TD_DOSE4,"Non-Pregnant, In_Facility_X",gDh7OfF4dk4,cZChfjCsymi
2020 PHUF3 - Reproductive Health Services,Td 4th dose,Td 4th dose,TD_DOSE4,"Non-Pregnant, Outreach_X",gDh7OfF4dk4,RItfvAlVjxn
2020 PHUF3 - Reproductive Health Services,Td 4th dose,Td 4th dose,TD_DOSE4,"Pregnant, In_Facility_X",gDh7OfF4dk4,fP72t9bMWwk
2020 PHUF3 - Reproductive Health Services,Td 4th dose,Td 4th dose,TD_DOSE4,"Pregnant, Outreach_X",gDh7OfF4dk4,AUH3MP85oO0
2020 PHUF3 - Reproductive Health Services,Td 4th dose In-School,Td 4th dose In-Sch,TD_DOSE4_IN_SCHOOL,default,xwDyNOqspTF,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Td 5th dose,Td 5th dose,TD_DOSE5,"Non-Pregnant, In_Facility_X",eHoIhB1JJTQ,cZChfjCsymi
2020 PHUF3 - Reproductive Health Services,Td 5th dose,Td 5th dose,TD_DOSE5,"Non-Pregnant, Outreach_X",eHoIhB1JJTQ,RItfvAlVjxn
2020 PHUF3 - Reproductive Health Services,Td 5th dose,Td 5th dose,TD_DOSE5,"Pregnant, In_Facility_X",eHoIhB1JJTQ,fP72t9bMWwk
2020 PHUF3 - Reproductive Health Services,Td 5th dose,Td 5th dose,TD_DOSE5,"Pregnant, Outreach_X",eHoIhB1JJTQ,AUH3MP85oO0
2020 PHUF3 - Reproductive Health Services,Td 5th dose In-School,Td 5th dose In-Sch,TD_DOSE5_IN_SCHOOL,default,ta36DwaQSTH,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Tubal Ligations New Client,Tubal Ligations New Client,TUBAL_LIGATION_NEW_CLIENT,25+y_X,XtpblNP6IIf,REWmlrNjcqF
2020 PHUF3 - Reproductive Health Services,Tubal ligation - Postpartum FP_X,Tubal ligation Postpartum FP,TUBAL_LIGATION_POSTPARTUM,default,HXASVUXKIoM,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Uterotonic prophylactic given immediately after delivery,Uterotonic prophylactic after delivery,URETOTONIC_PROPHYLACTIC_AFTER_DELIV,default,EsTVVzXgODK,p6gxExvVbwI
2020 PHUF3 - Reproductive Health Services,Vasectomy New Client,Vasectomy case,VASECTOMY_CASE,25+y_X,TDbfmbsHSIj,REWmlrNjcqF
2020 PHUF4 - Community Interventions,Antenatal client 1st promotional visit,ANC 1 promo visit,ANC1_PROMO_VISIT,default,hfej6DuoFGQ,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Antenatal client 2nd promotional visit,ANC 2 promo visit,ANC2_PROMO_VISIT,default,mtnK3ZHZglt,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Antenatal client 3rd promotional visit,ANC 3 promo visit,ANC3_PROMO_VISIT,default,VHZkeqRvyQQ,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Antenatal client IPTp 1st dose in community,ANC IPT 1 community,ANC_IPT1_COMM,default,TSIydcaSESN,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Antenatal client IPTp 2nd dose in community,ANC IPT 2 community,ANC_IPT2_COMM,default,UNNPnnylzkn,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Antenatal client IPTp 3rd dose in community,ANC IPT 3 community,ANC_IPT3_COMM,default,lgJWqTfY0Oq,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Antenatal client referred,ANC referred,ANC_REFERRED,default,kgDZFF391KK,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CBS Community Health Worker name,CBS CHW name,CBS_CHW_NAME,default,NfTdoExvyPs,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW over 3 kms from facility who reported,CHW over 3 kms from facility reported,CHW_O3KM_FAC_REPORTED,default,h84uElB4bmV,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW supplied ACT pack of 18 tabs,CHW supplied ACT pack of 18 tabs,CHW_SUPPLIED_ACT_18TABS,default,QNTv75LNSd1,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW supplied ACT pack of 6 tabs,CHW supplied ACT pck 6 tabs,CHW_SUPPLIED_ACT_6TABS,default,VY3PrIF2PKs,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW supplied Amoxicillin,CHW supplied Amoxicillin,CHW_SUPPLIED_AMOXICILLIN,default,dxZL1o7t0bl,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW supplied Contraceptive pills,CHW supplied Contraceptive pills,CHW_SUPPLIED_ORAL_PILLS,default,S0fPbQOPWKZ,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW supplied ORS,CHW supplied ORS,CHW_SUPPLIED_ORS,default,cPG54M1qgia,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW supplied RDT,CHW supplied RDT,CHW_SUPPLIED_RDT,default,MqugETzV1Y0,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW supplied Zinc,CHW supplied Zinc,CHW_SUPPLIED_ZINC,default,SZz4pQe0Tuo,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW that made MNCH home visits (epi),CHW that made MNCH home visits (epi),CHW_HOME_VISITS_EPI,default,HHwhquAPDQ5,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW under 3 kms from facililty who reported,CHW under 3 kms from facililty reported,CHW_U3KM_FAC_REPORTED,default,SE9mb8TNhQi,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW who permanently left the program (attrition),CHW who permanently left the program (attrition),CHW_ATTRITION,default,jREAdPTSz8i,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW who received at least one supervision visit by PS,CHW received at least one supervision visit by PS,CHW_ONE_SUPERVISION_VISIT_PS,default,tMeqGSFqJ5U,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW with ACT (all type) stockout,CHW with ACT (all type) stockout,CHW_STOCK_OUT_ACT_ALL,default,JHVFm5SupJc,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW with ACT pack of 12 tabs,CHW with ACT pack of 12 tabs,CHW_ACT_PACK_12TABS,default,APIeG9GGytl,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW with ACT pack of 24 tabs,CHW with ACT pack of 24 tabs,CHW_ACT_PACK_24TABS,default,Dqk0s0N7NSJ,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW with Amoxicillin stockout,CHW with Amoxicillin stockout,CHW_STOCK_OUT_AMOXICILLIN,default,jQwmZYQhjA7,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW with Contraceptive pills stockout,CHW with Contraceptive pills stockout,CHW_STOCK_OUT_ORAL_PILLS,default,ADTlZV25zgN,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW with ORS stockout,CHW with ORS stockout,CHW_STOCK_OUT_ORS,default,yvP6ZAHqrWa,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW with RDT stockout,CHW with RDT stockout,CHW_STOCK_OUT_RDT,default,ZAGhC2xvnAi,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHW with Zinc stockout,CHW with Zinc stockout,CHW_STOCK_OUT_ZINC,default,zSv6cCgNYUq,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHWs supported facility outreach with EPI included (epi),CHWs sptd facility outreach EPI included (epi),CHW_SUPP_OUTREACH_INCL_EPI,default,XU83opwdllH,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHWs that conducted immunisation counselling session during each MNCH home visit (epi),CHWs counselling each MNCH home visit (epi),CHW_EPI_COUNSEL_HOME_VISIT,default,fxbtj33ofGM,p6gxExvVbwI
2020 PHUF4 - Community Interventions,CHWs that supported facility outreach (epi),CHWs that supported facility outreach (epi),CHW_SUPP_OUTREACH,default,O9YWizFfX4D,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child (6-59m) assessed with MUAC green,Child (6-59m) MUAC green,CHILD_6_59M_MUAC_GREEN,default,xDjdyXwwciH,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child (6-59m) assessed with MUAC red,Child (6-59m) MUAC red,CHILD_6_59M_MUAC_RED,default,RphdJvt2dwk,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child (6-59m) assessed with MUAC red Referred,Child (6-59m) MUAC Red ref,CHILD_6_59M_MUAC_RED_REF,default,zXXb66yQM7q,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child (6-59m) assessed with MUAC yellow,Child (6-59m) MUAC yellow,CHILD_6_59M_MUAC_YELLOW,default,tzUJKBfm305,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child (6-59m) assessed with MUAC yellow Referred,Child (6-59m) MUAC Yellow ref,CHILD_6_59M_MUAC_YELLOW_REF,default,txLgg3b5L2e,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child (6-59m) malnutrition follow up visit,Child (6-59m) malnutrition follow up visit,CHILD_6_59M_MALNUT_FUP_CHW,default,Wiis6z69vhE,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child defaulted and traced by CHW/PS+ (epi),Child defaulted and traced by CHW/PS+ (epi),CHILD_DEFAULT_TRACED_CHW_PS,default,wkOAE3lSjf0,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child defaulted on scheduled immunisation (0-15 months) (epi),Child defaulted on schd imm (0-15 months) (epi),CHILD_0_15M_DEFAULT_SCHED_IMM,default,LxiH7YXL5Uz,p6gxExvVbwI
2020 PHUF4 - Community Interventions,"Child defaulted, traced and referred by CHW/PS (epi)","Child defaulted, traced and rfd by CHW/PS (epi)",CHILD_DEFAULT_TRACED_REF_CHW_PS,default,bkbyIKOcBKT,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child in community referred to facility,Child referred to facility,CHILD_COMM_REF_FACILITY,default,GBRGklkqib0,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child sick seen (2-59 months) in community,Child sick seen (2-59 months),CHILD_2_59M_SEEN_COMM,default,rESlg9qOw6o,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child visit at 15 month in community,Child visit at 15 month,CHILD_VISIT_15M_COMM,default,utlYPTQ0pyg,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child visit at 9 month in community,Child visit at 9 month,CHILD_VISIT_9M_COMM,default,gk9O9eaUiDW,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child with bloody diarrhoea (0-59m),Child with bloody diarrhoea (0-59m),CHILD_0_59M_BLOODY_DIARRHOEA,default,aSAX0U4CfXN,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child with chest indrawing (0-59m),Child with chest indrawing (0-59m),CHILD_0_59M_CHEST_INDRAWING,default,vPElmeGQLPk,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child with cough (0-59m),Child with cough (0-59m),CHILD_0_59M_COUGH,default,wfAo2dzodjp,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child with pneumonia (0-59m),Child with pneumonia (0-59m),CHILD_0_59M_PNEUMONIA,default,HRAiktMFJWD,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child with pneumonia referred (0-59m),Child with pneumonia referred (0-59m),CHILD_0_59M_PNEUMONIA_REF,default,ChinNCnNNzG,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Child with pneumonia treated with antibiotics (0-59m),Child with pneumonia treated (0-59m),CHILD_0_59M_PNEUMONIA_TREATED,default,fIrIVWwTu6V,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Cholera suspected in community,Cholera suspected,CHOLERA_SUSPECTED_COMM,default,JL0G8RBcPPj,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Death in community,Death in community,DEATH_COMM,default,QC3U6uZv3jZ,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Death in community Ebola survivor,Death community Ebola survivor,DEATH_COMM_EBOLA_SURVIVOR,default,OPHu0d7hE3I,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Death in community cluster,Death clusters,DEATH_COMM_CLUSTER,default,E7Chfvwe8sz,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Death in community maternal,Death in community maternal,DEATH_COMM_MATERNAL,default,icmZqa0Ga9G,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Death in community of newborn (within 28 days),Death of newborn (within 28 days),DEATH_COMM_NEONATAL,default,U5wnTTo7dPn,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Death in community under 5 years,Death under 5 years,DEATH_COMM_U5Y,default,PlUgLug1lJV,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Defaulters identified and linked to CHWs (epi),Defaulters identified and linked to CHWs (epi),DEFAULTER_IDENTIFIED_TO_CHW,default,QLJ5mkZMWgn,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Delivery in community,Delivery in community_chw,DELIVERY_COMM,default,ceFlv9W0KmT,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Diarrhoea treated in community with ORS and Zinc <24 hours,Diarrhoea treated in comty with ORS and Zinc <24rs,DIARRHOEA_TREATED_COMM_ORS_ZINC_U24H,default,zkxkoD5c1vP,p6gxExvVbwI
2020 PHUF4 - Community Interventions,Diarrhoea treated in community with ORS and Zinc >24 hours,Diarrhoea treated in comty with ORS and Zinc >24rs,DIARRHOEA_TREATED_COMM_ORS_ZINC_O24H,default,jDTBeuPaKh6,p6gxExvVbwI
